order_id,expected_reason_code,note
INV-2026-00001,duplicate_settlement,"alt-format batch, case 1"
INV-2026-00002,no_settlement_found,"alt-format batch, case 2"
INV-2026-00003,fee_footing_mismatch,"alt-format batch, case 3"
INV-2026-00004,bank_credit_delayed,"alt-format batch, case 4"
INV-2026-00005,settlement_not_credited,"alt-format batch, case 5"
INV-2026-00006,ledger_gross_amount_mismatch,"alt-format batch, case 6"
INV-2026-00007,bank_amount_mismatch,"alt-format batch, case 7"
INV-2026-00008,matched,"alt-format batch, case 8"
INV-2026-00009,matched,"alt-format batch, case 9"
INV-2026-00010,matched,"alt-format batch, case 10"
INV-2026-00011,matched,"alt-format batch, case 11"
INV-2026-00012,matched,"alt-format batch, case 12"
INV-2026-00013,matched,"alt-format batch, case 13"
INV-2026-00014,matched,"alt-format batch, case 14"
INV-2026-00015,matched,"alt-format batch, case 15"
INV-2026-00016,matched,"alt-format batch, case 16"
INV-2026-00017,matched,"alt-format batch, case 17"
INV-2026-00018,matched,"alt-format batch, case 18"
INV-2026-00019,matched,"alt-format batch, case 19"
INV-2026-00020,matched,"alt-format batch, case 20"
INV-2026-00021,matched,"alt-format batch, case 21"
INV-2026-00022,matched,"alt-format batch, case 22"
INV-2026-00023,matched,"alt-format batch, case 23"
INV-2026-00024,refund_not_reflected,"alt-format batch, case 0"
INV-2026-00025,duplicate_settlement,"alt-format batch, case 1"
INV-2026-00026,no_settlement_found,"alt-format batch, case 2"
INV-2026-00027,fee_footing_mismatch,"alt-format batch, case 3"
INV-2026-00028,bank_credit_delayed,"alt-format batch, case 4"
INV-2026-00029,settlement_not_credited,"alt-format batch, case 5"
INV-2026-00030,ledger_gross_amount_mismatch,"alt-format batch, case 6"
INV-2026-00031,bank_amount_mismatch,"alt-format batch, case 7"
INV-2026-00032,matched,"alt-format batch, case 8"
INV-2026-00033,matched,"alt-format batch, case 9"
INV-2026-00034,matched,"alt-format batch, case 10"
INV-2026-00035,matched,"alt-format batch, case 11"
INV-2026-00036,matched,"alt-format batch, case 12"
INV-2026-00037,matched,"alt-format batch, case 13"
INV-2026-00038,matched,"alt-format batch, case 14"
INV-2026-00039,matched,"alt-format batch, case 15"
INV-2026-00040,matched,"alt-format batch, case 16"
INV-2026-00041,matched,"alt-format batch, case 17"
INV-2026-00042,matched,"alt-format batch, case 18"
INV-2026-00043,matched,"alt-format batch, case 19"
INV-2026-00044,matched,"alt-format batch, case 20"
INV-2026-00045,matched,"alt-format batch, case 21"
INV-2026-00046,matched,"alt-format batch, case 22"
INV-2026-00047,matched,"alt-format batch, case 23"
INV-2026-00048,refund_not_reflected,"alt-format batch, case 0"
INV-2026-00049,duplicate_settlement,"alt-format batch, case 1"
INV-2026-00050,no_settlement_found,"alt-format batch, case 2"
INV-2026-00051,fee_footing_mismatch,"alt-format batch, case 3"
INV-2026-00052,bank_credit_delayed,"alt-format batch, case 4"
INV-2026-00053,settlement_not_credited,"alt-format batch, case 5"
INV-2026-00054,ledger_gross_amount_mismatch,"alt-format batch, case 6"
INV-2026-00055,bank_amount_mismatch,"alt-format batch, case 7"
INV-2026-00056,matched,"alt-format batch, case 8"
INV-2026-00057,matched,"alt-format batch, case 9"
INV-2026-00058,matched,"alt-format batch, case 10"
INV-2026-00059,matched,"alt-format batch, case 11"
INV-2026-00060,matched,"alt-format batch, case 12"
