order_id,expected_reason_code,note
order_000001,duplicate_settlement,two settlement rows exist for one order_id
order_000002,no_settlement_found,order never settled (stuck/orphan)
order_000003,fee_footing_mismatch,settled_amount does not foot against gross - fee - tax
order_000004,bank_credit_delayed,"bank credit lands 8 days after settlement, past the window"
order_000005,matched,"clean order, should reconcile on both legs"
order_000006,matched,"clean order, should reconcile on both legs"
order_000007,matched,"clean order, should reconcile on both legs"
order_000008,bank_amount_mismatch,bank credited less than the settlement reported
order_000009,matched,"settled and credited correctly, but the narration quotes a reversal ref alongside the credit ref — only the LLM tier can tell which is which"
order_000010,matched,one settlement arriving as two bank credits that sum to it
order_000011,matched,"control: refund processed AND booked correctly, must match"
order_000012,matched,"clean order, should reconcile on both legs"
order_000013,matched,"clean order, should reconcile on both legs"
order_000014,matched,"clean order, should reconcile on both legs"
order_000015,matched,"clean order, should reconcile on both legs"
order_000016,matched,"clean order, should reconcile on both legs"
order_000017,matched,"clean order, should reconcile on both legs"
order_000018,matched,"clean order, should reconcile on both legs"
order_000019,matched,"clean order, should reconcile on both legs"
order_000020,ledger_gross_amount_mismatch,merchant ledger books a gross Razorpay never agreed to
order_000021,settlement_not_credited,Razorpay reports a settlement that never reached the bank
order_000022,matched,"clean order, should reconcile on both legs"
order_000023,matched,"settled and credited correctly, but the narration quotes no reference at all — unresolvable by any tier"
order_000024,matched,"clean order, should reconcile on both legs"
order_000025,matched,"clean order, should reconcile on both legs"
order_000026,matched,"clean order, should reconcile on both legs"
order_000027,matched,"clean order, should reconcile on both legs"
order_000028,matched,"clean order, should reconcile on both legs"
order_000029,matched,"clean order, should reconcile on both legs"
order_000030,matched,"clean order, should reconcile on both legs"
order_000031,matched,"clean order, should reconcile on both legs"
order_000032,bank_amount_mismatch,bank credited less than the settlement reported
order_000033,matched,"settled and credited correctly, but the narration quotes a reversal ref alongside the credit ref — only the LLM tier can tell which is which"
order_000034,matched,one settlement arriving as two bank credits that sum to it
order_000035,matched,"control: refund processed AND booked correctly, must match"
order_000036,matched,"clean order, should reconcile on both legs"
order_000037,matched,"clean order, should reconcile on both legs"
order_000038,matched,"clean order, should reconcile on both legs"
order_000039,matched,"clean order, should reconcile on both legs"
order_000040,matched,"clean order, should reconcile on both legs"
order_000041,matched,"clean order, should reconcile on both legs"
order_000042,matched,"clean order, should reconcile on both legs"
order_000043,matched,"clean order, should reconcile on both legs"
order_000044,matched,"clean order, should reconcile on both legs"
order_000045,settlement_not_credited,Razorpay reports a settlement that never reached the bank
order_000046,settlement_reversed,"credited on time, then clawed back by a chargeback debit"
order_000047,matched,"clean order, should reconcile on both legs"
order_000048,matched,"clean order, should reconcile on both legs"
order_000049,matched,"clean order, should reconcile on both legs"
order_000050,matched,"clean order, should reconcile on both legs"
order_000051,matched,"clean order, should reconcile on both legs"
order_000052,matched,"clean order, should reconcile on both legs"
order_000053,matched,"clean order, should reconcile on both legs"
order_000054,matched,"clean order, should reconcile on both legs"
order_000055,matched,"clean order, should reconcile on both legs"
order_000056,matched,"clean order, should reconcile on both legs"
order_000057,matched,"clean order, should reconcile on both legs"
order_000058,matched,"clean order, should reconcile on both legs"
order_000059,matched,"clean order, should reconcile on both legs"
order_000060,matched,"clean order, should reconcile on both legs"
order_000061,matched,"clean order, should reconcile on both legs"
order_000062,matched,"clean order, should reconcile on both legs"
order_000063,matched,"clean order, should reconcile on both legs"
order_000064,matched,"clean order, should reconcile on both legs"
order_000065,matched,"clean order, should reconcile on both legs"
order_000066,matched,"clean order, should reconcile on both legs"
order_000067,matched,"clean order, should reconcile on both legs"
order_000068,matched,"clean order, should reconcile on both legs"
order_000069,matched,"clean order, should reconcile on both legs"
order_000070,matched,"clean order, should reconcile on both legs"
order_000071,matched,"clean order, should reconcile on both legs"
order_000072,matched,"clean order, should reconcile on both legs"
order_000073,matched,"clean order, should reconcile on both legs"
order_000074,matched,"clean order, should reconcile on both legs"
order_000075,matched,"clean order, should reconcile on both legs"
order_000076,matched,"clean order, should reconcile on both legs"
order_000077,matched,"clean order, should reconcile on both legs"
order_000078,matched,"clean order, should reconcile on both legs"
order_000079,matched,"clean order, should reconcile on both legs"
order_000080,matched,"clean order, should reconcile on both legs"
order_000081,matched,"clean order, should reconcile on both legs"
order_000082,matched,"clean order, should reconcile on both legs"
order_000083,matched,"clean order, should reconcile on both legs"
order_000084,matched,"clean order, should reconcile on both legs"
order_000085,matched,"clean order, should reconcile on both legs"
order_000086,matched,"clean order, should reconcile on both legs"
order_000087,matched,"clean order, should reconcile on both legs"
order_000088,matched,"clean order, should reconcile on both legs"
order_000089,matched,"clean order, should reconcile on both legs"
order_000090,matched,"clean order, should reconcile on both legs"
order_000091,matched,"clean order, should reconcile on both legs"
order_000092,matched,"clean order, should reconcile on both legs"
order_000093,matched,"clean order, should reconcile on both legs"
order_000094,matched,"clean order, should reconcile on both legs"
order_000095,matched,"clean order, should reconcile on both legs"
order_000096,matched,"clean order, should reconcile on both legs"
order_000097,matched,"clean order, should reconcile on both legs"
order_000098,matched,"clean order, should reconcile on both legs"
order_000099,matched,"clean order, should reconcile on both legs"
order_000100,matched,"clean order, should reconcile on both legs"
order_000101,matched,"clean order, should reconcile on both legs"
order_000102,matched,"clean order, should reconcile on both legs"
order_000103,matched,"clean order, should reconcile on both legs"
order_000104,matched,"clean order, should reconcile on both legs"
order_000105,matched,"clean order, should reconcile on both legs"
order_000106,matched,"clean order, should reconcile on both legs"
order_000107,matched,"clean order, should reconcile on both legs"
order_000108,matched,"clean order, should reconcile on both legs"
order_000109,matched,"clean order, should reconcile on both legs"
order_000110,matched,"clean order, should reconcile on both legs"
